item_id,stem,option_a,fb_a,option_b,fb_b,option_c,fb_c,option_d,fb_d,correct,rationale,rationale_img,subject,topic,difficulty,marks,instant_id,timed_id
,,,,,,,,,,,,,,,,,,
RN_MED-S1-1,"A patient presents with fatigue, pallor, and spoon-shaped nails. Laboratory results confirm a microcytic hypochromic anemia. What is the most likely cause?",Vitamin B12 deficiency,"Incorrect – causes macrocytic, not microcytic anemia.",Folic acid deficiency,Incorrect – also produces macrocytic cells.,Iron deficiency anemia,"Correct – the classic cause of microcytic, hypochromic anemia.",Sickle cell disease,Incorrect – produces normocytic cells with sickling.,C,"Iron deficiency anemia typically presents with microcytic, hypochromic cells and symptoms like pallor and koilonychia (spoon nails). Vitamin B12 and folic acid deficiencies cause macrocytic anemia. Sickle cell is normocytic. 
",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiAK9SAuKWFQWycwVIf5msR2XLKfcUkAVdPJl9DI1v0VVMJ7yPKA1c-N32I4qmzLl2uqU9Er0ptMTR8kJ_XasdSZyWlOROJ1ZQfw5l7Jd2L_5GNn9lMeY4Uuj3W8E3wQ461kHlsMOhnWwYXw4PyKcox2aP92RZKB3O5rGUIToKmg0kb3sgkJyq-AI2NQLux/s320/Iron%20deficiency%20anaemis.webp,Medical Nursing,Hematology:Aneamia,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-2,A nurse is caring for a patient with congestive heart failure. Which of the following medications improves cardiac contractility?,Furosemide,Incorrect – a loop diuretic that relieves fluid overload but not contractility.,Digoxin,Correct – a positive inotrope that strengthens cardiac contractions.,Amlodipine,"Incorrect – a calcium-channel blocker that reduces afterload, not contractility.",Propranolol,Incorrect – a beta-blocker that decreases heart rate and contractility.,B,"Digoxin is a positive inotrope, improving contractility. Furosemide is a diuretic, and Amlodipine and Propranolol reduce blood pressure, not contractility. ",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEidiYhJNzKWuhNRa1lMtWGERtitpThFE-vlqoQDI-RLhyphenhyphenThHt5T7a3k5_ApjAj2HKnV_WXaHNUcJSTT_-4y_hc4XgS0FQxEts1TdcQu4lJFQvta7ek8U_2qNwC-KeUa49Z3xpcFWYP4opK90GYJYtwvaj-g6Y3URWtJ3mbXsPrCPF6dUfBhCp-LjrpVMpAH/s320/digoxin-cellular-mechanism.png,Medical Nursing,Cardiovascular,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-3,Which of the following findings is most suggestive of pericarditis in a patient with chest pain?,Chest pain relieved by lying flat,Incorrect – pain usually worsens when lying flat.,Pericardial friction rub,Correct – hallmark sign of pericarditis.,Bradycardia,Incorrect – not a typical feature.,Substernal pain during exercise,"Incorrect – suggests angina, not pericarditis.",B,A pericardial friction rub is the hallmark of pericarditis. Pain is typically relieved by sitting up and worsens when lying flat.,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiFXHP3x4dzy4WEWab7ZVMgcCH9fn39z1fUAy84B1omFnaTBgH-LN5oRsppAfsKJy-QthDjIFTBjAe8vItRY0OY8fYnMVm4-QsUE5rQ_XpxuboWGYjDMe0Ey3Bj3BfSY57LNAvsPE9hBmGzKF7dPOCmfmcx9y8uK4o1CNhsN6h-nm6n77h7o7-czvo3rUKW/s320/pericarditis-8col.webp,Medical Nursing,Cardiovascular,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-4,A 58-year-old diabetic man is admitted with confusion and a blood glucose of 1.9 mmol/L. What is the most immediate nursing intervention?,Administer IV glucose,Correct – fastest treatment for severe hypoglycemia.,Call the physician,Incorrect – delay in action may endanger the patient.,Give oral metformin,Incorrect – contraindicated during hypoglycemia.,Monitor urine output,Incorrect – not immediately corrective.,A,Severe hypoglycemia is a medical emergency. IV glucose is the fastest route to reverse symptoms. Metformin is contraindicated here.,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjhYHEDDrqcbuC6t8iVrgNsZGA08kzNPvAiuZ-eqRGa1b4RR5SaH1lYWtMyZT5BBk6FLQJcCbJScBIJMkJayeo0a7qlKcJ7W1UGqQbwOIcKcrBeoawLrMYF6eoHfnhyphenhyphenNagx4-UxUSEw0qdDxtsJlvWSU2mT2CDufDqpIl91nG-hv2v8Ei_AinISQnrE-h55/s1600/dka.jpg,Medical Nursing,Endocrinology,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-5,Which of the following laboratory findings is expected in a patient with Addison’s disease?,Hypernatremia and hyperglycemia,Incorrect – opposite of Addison’s findings.,Hyponatremia and hyperkalemia,Correct – due to aldosterone deficiency.,Hypokalemia and alkalosis,Incorrect – seen in Cushing’s or hyperaldosteronism.,Hyperchloremia and hypernatremia,Incorrect – not typical of Addison’s.,B,"Addison’s leads to aldosterone deficiency, causing sodium loss and potassium retention (hyponatremia and hyperkalemia).",,Medical Nursing,Endocrinology,Hard,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-6,A nurse prepares a patient for a Schilling test. What is the test used to diagnose?,Iron deficiency anemia,"Incorrect – relates to iron metabolism, not B12 absorption.",Pernicious anemia,Correct – the Schilling test checks vitamin B12 absorption impaired in pernicious anemia.,Hemolytic anemia,"Incorrect – involves RBC destruction, not absorption problems.",Thalassemia,Incorrect – a genetic hemoglobin disorder.,B,"The Schilling test checks for Vitamin B12 absorption, which is impaired in pernicious anemia.",,Medical Nursing,Hematology:Diagnostics,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-7,Which medication is contraindicated in a patient with active peptic ulcer disease?,Sucralfate,Incorrect – forms a protective coating on ulcers.,Ranitidine,Incorrect – reduces acid secretion.,Ibuprofen,Correct – an NSAID that worsens gastric irritation and ulcers.,Omeprazole,Incorrect – a proton pump inhibitor used to heal ulcers.,C,NSAIDs like ibuprofen irritate the gastric mucosa and worsen ulcers. The other options are ulcer-protective.,,Medical Nursing,Gastrointestinal,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-8,A client is taking propranolol for hypertension. Which symptom should the nurse monitor as an adverse effect?,Bradycardia,Correct – beta-blockers slow heart rate.,Polyuria,Incorrect – not a typical effect of propranolol.,Tinnitus,Incorrect – unrelated to beta-blocker therapy.,Hyperactivity,"Incorrect – propranolol may cause fatigue, not hyperactivity.",A,Propranolol is a beta-blocker and can cause bradycardia. Other symptoms listed are not common effects.,,Medical Nursing,Pharmacology,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-9,The nurse is educating a diabetic patient on foot care. Which instruction is appropriate?,Walk barefoot at home,Incorrect – increases risk of injury and infection.,Dry thoroughly between the toes,Correct – prevents fungal growth and infection.,Use hot water to wash feet,Incorrect – may cause burns due to reduced sensation.,Apply lotion between the toes,Incorrect – moisture here encourages infection.,B,Proper foot care in diabetics includes drying between the toes. Hot water and lotion between toes increase infection risk.,,Medical Nursing,Endocrinology,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-10,A patient with sickle cell crisis is admitted with severe joint pain. Which is the priority nursing intervention?,Provide antibiotics,"Incorrect – used for infection prevention, not immediate crisis relief.",Administer oxygen therapy,"Correct – relieves hypoxia, the main trigger for sickling.",Encourage ambulation,Incorrect – rest is preferred during crisis.,Limit fluid intake,Incorrect – hydration is vital to reduce sickling.,B,Hypoxia triggers sickling. Administering oxygen helps reverse the sickling process. Hydration and analgesia follow.,,Medical Nursing,Hematology,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
